Program,Control Model,Product Area,Part Number,Part Description,Program Quantity of parts,Updated By,Reason for update,Ref Quantity,Supplier Info,Fgrp,Pos
V536,2,ART AD AND ADAS PLATFORM,,SECONDARY BOOTLOADER SODL,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,SECONDARY BOOTLOADER SODR,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,CONTROL UNIT ASDM,0.0,SYSTEM,Price imported from SI+/epic,1.0,DDJ8A,null,null
V536,2,ART AD AND ADAS PLATFORM,,SECONDARY BOOTLOADER FLC,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,30640996.0,FLANGE SCREW M5*10,4.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3885,010
V536,2,ART AD AND ADAS PLATFORM,32327580.0,CONTROL UNIT ADPM,1.0,JJUUL,QOP add capacitor,0.0,AEPNI,3880,010
V536,2,ART AD AND ADAS PLATFORM,30769344.0,"SEMS SCREW M5*25*26,22 MATHREAD",4.0,,,0.0,BZMDB,3884,010
V536,2,ART AD AND ADAS PLATFORM,,LOCAL PARAMETERS ASDM,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,32294611.0,LOCAL PARAMETERS FLR,1.0,,,0.0,,3883,020
V536,2,ART AD AND ADAS PLATFORM,,SIX POINT SOCKET SCREW PF6*16,0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART AD AND ADAS PLATFORM,,CONTROL UNIT SOD,0.0,SYSTEM,Price imported from SI+/epic,1.0,C95YD,null,null
V536,2,ART AD AND ADAS PLATFORM,40008763.0,"SENSOR,EXT707 0 DEGREES",2.0,HLARSS12,First publish,0.0,D25KE,3874,101
V536,2,ART AD AND ADAS PLATFORM,,SECONDARY BOOTLOADER FLR,0.0,,,1.0,,null,null
V536,2,ART AD AND ADAS PLATFORM,,CONTROL UNIT WAM,0.0,SYSTEM,Price imported from SI+/epic,1.0,GBV7A,null,null
V536,2,ART AD AND ADAS PLATFORM,,RETAINER HEXAGON AUTO INSTALL T5,0.0,SYSTEM,Price imported from SI+/epic,2.0,B4V0A,null,null
V536,2,ART AD AND ADAS PLATFORM,40008760.0,"SENSOR,SVART19S 0 DEGREES",2.0,AKUMLIN,price missing in MAxBOM,0.0,D25KE,3874,150
V536,2,ART AD AND ADAS PLATFORM,30640883.0,"FLANGE LOCK NUT M6*7,3",2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3880,010
V536,2,ART HW AND MECHATRONICS,998119.0,SEMS SCREW M6*25,2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3956,010
V536,2,ART HW AND MECHATRONICS,,LOCAL PARAMETERS ESM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,32267382.0,BATTERY BACKUP,1.0,KBRODEN1,Wrong estimate here before,0.0,AERYZ,3943,100
V536,2,ART HW AND MECHATRONICS,30640943.0,"SIX POINT SOCKET SCREW ST4,8*22",2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,3956,095
V536,2,ART HW AND MECHATRONICS,,REMOTE KEY SET 434,0.0,SYSTEM,Price imported from SI+/epic,1.0,AD8O7,null,null
V536,2,ART HW AND MECHATRONICS,32334828.0,LOAD MODULE PAK,1.0,,,0.0,,3661,081
V536,2,ART HW AND MECHATRONICS,,WOOFER HIGH PERFORMANCE,0.0,SYSTEM,Price imported from SI+/epic,1.0,AD7XJ,null,null
V536,2,ART HW AND MECHATRONICS,32264594.0,SUBWOOFER,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEF0K,3956,030
V536,2,ART HW AND MECHATRONICS,,"SIX POINT SOCKET SCREW ST4,8*13",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART HW AND MECHATRONICS,,LOAD MODULE ESM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,32334827.0,LOAD MODULE PAK,1.0,,,0.0,,3661,080
V536,2,ART HW AND MECHATRONICS,,SPEAKER MIDRANGE HP SIDE DOOR,0.0,SYSTEM,Price imported from SI+/epic,1.0,AD7XJ,null,null
V536,2,ART HW AND MECHATRONICS,,TWEETER HIGH PERFORMANCE,0.0,SYSTEM,Price imported from SI+/epic,1.0,AD7XJ,null,null
V536,2,ART HW AND MECHATRONICS,32334829.0,LOAD MODULE PAK,1.0,,,0.0,,3661,082
V536,2,ART HW AND MECHATRONICS,32319553.0,BRACKET UWB,3.0,IPERSS11,MaxBom first publish,0.0,BT7RA,3661,078
V536,2,ART HW AND MECHATRONICS,32334070.0,LOCAL PARAMETERS TCA,1.0,,,0.0,,3943,155
V536,2,ART HW AND MECHATRONICS,32264904.0,MIDRANGE,1.0,SYSTEM,Price imported from SI+/epic,0.0,AESKL,3956,070
V536,2,ART HW AND MECHATRONICS,32334673.0,NFC SET,1.0,IPERSS11,"VPC77001, ConX-F 21w44",0.0,AEXZN,3661,020
V536,2,ART HW AND MECHATRONICS,32334199.0,LOAD MODULE TCA,1.0,,,0.0,,3943,132
V536,2,ART HW AND MECHATRONICS,32387082.0,UWB ANTENNA TERMINATOR RESISTOR,1.0,IPERSS11,"VPC79858, ConX-F 21w51",0.0,AE1RV,3661,070
V536,2,ART HW AND MECHATRONICS,32387081.0,UWB ANTENNA,1.0,IPERSS11,"VPC79858, ConX-f 21w51",0.0,AE1RV,3661,071
V536,2,ART HW AND MECHATRONICS,32359833.0,CLIP,4.0,SDAHLGR1,New part added to project.,0.0,BQ1LA,3956,053
V536,2,ART HW AND MECHATRONICS,32334830.0,SECONDARY BOOTLOADER PAK,1.0,,,0.0,,3661,090
V536,2,ART HW AND MECHATRONICS,8752741.0,HOT MELT ADHESIVE,0.003,SYSTEM,Price imported from SI+/epic,0.0,AEBBZ,3661,600
V536,2,ART HW AND MECHATRONICS,,ANTENNA AMPLIFIER FM,0.0,SYSTEM,Price imported from SI+/epic,2.0,AENPP,null,null
V536,2,ART HW AND MECHATRONICS,32387401.0,RFK SET,1.0,MSTOLPE3,"VPC85975, ConX-F 22w45",0.0,AEQZW,3661,020
V536,2,ART HW AND MECHATRONICS,32265271.0,EXTERIOR LOUDSPEAKER,2.0,SYSTEM,Price imported from SI+/epic,0.0,AEKWJ,3956,200
V536,2,ART HW AND MECHATRONICS,32264655.0,LOCAL PARAMETERS HP PRO,1.0,,,0.0,,3956,016
V536,2,ART HW AND MECHATRONICS,32264653.0,LOAD MODULE HP PRO,1.0,,,0.0,,3956,018
V536,2,ART HW AND MECHATRONICS,32264651.0,SECONDARY BOOTLOADER HP PRO,1.0,,,0.0,,3956,012
V536,2,ART HW AND MECHATRONICS,,"FLANGE SCREW M6*10*13,3 MATHREAD",0.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,null,null
V536,2,ART HW AND MECHATRONICS,32141382.0,ANTENNA AMPLIFIER FM,2.0,FKHAN1,MaxBom first publish,0.0,AEUD6,3921,011
V536,2,ART HW AND MECHATRONICS,32334202.0,CERTIFICATE TCA,1.0,,,0.0,,3943,170
V536,2,ART HW AND MECHATRONICS,32334201.0,CERTIFICATE TCA,1.0,,,0.0,,3943,165
V536,2,ART HW AND MECHATRONICS,32334204.0,CERTIFICATE TCA,1.0,,,0.0,,3943,180
V536,2,ART HW AND MECHATRONICS,,AUDIO MODULE HIGH PERFORMANCE,0.0,SYSTEM,Price imported from SI+/epic,1.0,R9KWD,null,null
V536,2,ART HW AND MECHATRONICS,32334203.0,CERTIFICATE TCA,1.0,,,0.0,,3943,175
V536,2,ART HW AND MECHATRONICS,,SOFTWARE SIGNING,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,32265264.0,AUDIO MODULE,1.0,SYSTEM,Price imported from SI+/epic,0.0,AERKN,3956,010
V536,2,ART HW AND MECHATRONICS,32265262.0,LOUDSPEAKER FULLRANGE,1.0,SYSTEM,Price imported from SI+/epic,0.0,AESH2,3956,073
V536,2,ART HW AND MECHATRONICS,32265261.0,CENTRE LOUDSPEAKER,1.0,SYSTEM,Price imported from SI+/epic,0.0,AESKL,3956,080
V536,2,ART HW AND MECHATRONICS,32265260.0,WOOFER,1.0,SYSTEM,Price imported from SI+/epic,0.0,AESHZ,3956,050
V536,2,ART HW AND MECHATRONICS,32218512.0,SOFTWARE SIGNING,1.0,,,1.0,,3943,200
V536,2,ART HW AND MECHATRONICS,32389088.0,LICENCE QNX,1.0,HZUGNER,Max Bom First issue,0.0,,3956,400
V536,2,ART HW AND MECHATRONICS,,BATTERY BACKUP,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEZ8Q,null,null
V536,2,ART HW AND MECHATRONICS,,"FLANGE SCREW M6*20*23,3 MATHREAD",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART HW AND MECHATRONICS,,COVER SUBWOOFER,0.0,SYSTEM,Price imported from SI+/epic,1.0,BQAHA,null,null
V536,2,ART HW AND MECHATRONICS,32265379.0,LOUDSPEAKER BU,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEKWJ,3956,095
V536,2,ART HW AND MECHATRONICS,999231.0,FLANGE SCREW M6*14,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,3921,011
V536,2,ART HW AND MECHATRONICS,,CERTIFICATE TCAM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,FLANGE SCREW M6*25,0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART HW AND MECHATRONICS,,SIX POINT SOCKET SCREW PF4*10,0.0,KANTAN,Price imported from SI+/epic,3.0,AEKIF,null,null
V536,2,ART HW AND MECHATRONICS,999232.0,FLANGE SCREW M6*16,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3956,030
V536,2,ART HW AND MECHATRONICS,32265938.0,BRACKET EXTERIOR LOUDSPEAKER,2.0,JADLER6,First pulished in Maxbom,0.0,AD6VI,3956,200
V536,2,ART HW AND MECHATRONICS,30624366.0,FLANGE SCREW M6*20*23 MATHREAD,4.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3956,200
V536,2,ART HW AND MECHATRONICS,32265934.0,LICENCE AUDIO,1.0,SYSTEM,Price imported from SI+/epic,0.0,AESH2,3956,400
V536,2,ART HW AND MECHATRONICS,30622905.0,SIX POINT SOCKET SCREW PF4*15,6.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3956,081
V536,2,ART HW AND MECHATRONICS,,SEMS SCREW M8*40,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEKIF,null,null
V536,2,ART HW AND MECHATRONICS,,LOUDSPEAKER TCAM BU,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEKWJ,null,null
V536,2,ART HW AND MECHATRONICS,,CERTIFICATE TCAM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,SIGNAL CONFIGURATION ESM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,CERTIFICATE TCAM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,CERTIFICATE TCAM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,BOOTLOADER ESM,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,LOAD MODULE TCAM/ACPU,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,LOUDSPEAKER ESM REAR,0.0,SYSTEM,Price imported from SI+/epic,1.0,AENIJ,null,null
V536,2,ART HW AND MECHATRONICS,,LOAD MODULE TCAM/ACPU,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,SOUND MODULE ESM,0.0,SYSTEM,Price imported from SI+/epic,1.0,AENIJ,null,null
V536,2,ART HW AND MECHATRONICS,,LOCAL CONFIGURATION TCAM/ACPU,0.0,,,1.0,,null,null
V536,2,ART HW AND MECHATRONICS,,"SPRING NUT ST4,8*3",0.0,SYSTEM,Price imported from SI+/epic,2.0,B4V0A,null,null
V536,2,ART HW AND MECHATRONICS,32265928.0,TWEETER,1.0,SYSTEM,Price imported from SI+/epic,0.0,AESKL,3956,061
V536,2,ART HW AND MECHATRONICS,32319569.0,CONTROL UNIT TCA NA,1.0,MOLAUSS4,VPC87313,0.0,AERYZ,3943,100
V536,2,ART HW AND MECHATRONICS,999404.0,SIX POINT SOCKET SCREW PF5*22,4.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,3956,053
V536,2,ART HW AND MECHATRONICS,32334067.0,LOAD MODULE TCA,1.0,,,0.0,,3943,130
V536,2,ART SOFTWARE AND ELECTRONICS CORE SYSTEM,32375470.0,LOAD MODULE VCU - HPAA,1.0,,,0.0,,3025,360
V536,2,ART SOFTWARE AND ELECTRONICS CORE SYSTEM,32375539.0,LOCAL CONFIGURATION VEHICLE CONFIG HPAA,1.0,,,0.0,,3025,070
V536,2,ART SOFTWARE AND ELECTRONICS CORE SYSTEM,32375471.0,LOAD MODULE VCU - HPAA,1.0,,,0.0,,3025,362
V536,2,ART SOFTWARE AND ELECTRONICS CORE SYSTEM,32375475.0,PARAMETER FILE VCU - HPAA,1.0,,,0.0,,3025,372
V536,2,ART SOFTWARE AND ELECTRONICS CORE SYSTEM,32375524.0,NETWORK MAP VCU - HPAA,1.0,,,0.0,,3025,394
V536,2,ART CLIMATE,32241270.0,ADAPTER,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,070
V536,2,ART CLIMATE,32296144.0,BRACKET CONTROL UNIT CCMB,1.0,JTILHON,cost maturity,0.0,AEU60,8737,020
V536,2,ART CLIMATE,32241272.0,AIR DUCT B-PILLAR TUNNEL,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,030
V536,2,ART CLIMATE,32241271.0,AIR DUCT FLOOR 2ND,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,071
V536,2,ART CLIMATE,32241273.0,BRANCHING AIRDUCT B-PILLAR LH,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,030
V536,2,ART CLIMATE,32289971.0,AIR DUCT FLOOR 3RD ROW LOWER,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEU60,8720,071
V536,2,ART CLIMATE,,SEMS SCREW M6*25,0.0,SYSTEM,Price imported from SI+/epic,3.0,AEKIF,null,null
V536,2,ART CLIMATE,32289841.0,RETAINER,1.0,THULTGRE,VPC80948 Retainer update hard tool,0.0,AEU1K,8740,050
V536,2,ART CLIMATE,32260749.0,CLIMATE UNIT,1.0,SYSTEM,Price Imported from SI+/Epic,0.0,AD031,8730,010
V536,2,ART CLIMATE,32260903.0,FILTER ADVANCED,1.0,RCARLSS2,First issue,0.0,T4FWB,8780,040
V536,2,ART CLIMATE,32289969.0,BRANCHING AIRDUCT B-PILLAR RH,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEU60,8720,030
V536,2,ART CLIMATE,32260866.0,BRACKET ELAC,1.0,PTHURES2,Change to Contract,0.0,AD705,8740,013
V536,2,ART CLIMATE,30640994.0,FLANGE SCREW M6*90,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,8740,050
V536,2,ART CLIMATE,32241281.0,AIR DUCT B-PILLAR LOWER RH,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,030
V536,2,ART CLIMATE,32241280.0,AIR DUCT B-PILLAR LOWER LH,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,030
V536,2,ART CLIMATE,,CLIMATE UNIT,0.0,SYSTEM,Price imported from SI+/epic,1.0,D0MNF,null,null
V536,2,ART CLIMATE,32241283.0,AIR DUCT B-PILLAR UPPER RH,1.0,NSELVAR3,Correction for expandable package,0.0,AEU60,8720,030
